,AC-like,Endothelial,MES-like,Mono,Mural cell,NPC-like,OPC-like,TAM-BDM,TAM-MG
Spotx55,1,0,0,1,0,0,1,0,0
Spotx56,0,0,1,1,1,0,0,0,0
Spotx57,1,1,0,1,1,1,1,0,1
Spotx58,0,1,1,0,0,1,1,0,1
Spotx59,0,1,1,0,1,1,0,1,0
Spotx60,0,0,1,0,1,1,0,0,1
Spotx61,0,1,1,1,0,1,0,1,1
Spotx62,0,0,0,1,0,1,0,0,0
Spotx63,1,1,0,1,1,1,1,1,1
Spotx64,0,1,1,1,1,0,1,0,0
Spotx65,0,0,1,0,1,1,0,1,1
Spotx66,0,0,0,0,0,0,0,1,0
Spotx67,0,0,0,0,0,0,0,1,0
Spotx68,0,0,1,0,0,0,0,1,1
Spotx69,1,0,0,1,1,0,0,1,1
Spotx70,0,0,0,1,0,0,1,0,0
Spotx71,0,0,0,0,0,1,1,0,1
Spotx72,1,0,0,1,0,0,0,0,1
Spotx73,1,1,0,0,0,1,0,1,1
Spotx74,1,1,0,0,1,0,1,1,1
Spotx75,0,1,1,1,1,0,1,0,1
Spotx76,1,0,0,1,0,0,0,0,0
Spotx77,0,1,0,0,1,0,0,1,1
Spotx78,1,1,0,1,0,1,0,1,0
Spotx79,0,0,1,0,0,0,0,0,0
Spotx80,0,0,1,0,0,0,0,0,1
Spotx81,1,0,1,0,0,1,0,1,0
Spotx82,0,0,1,0,0,1,1,1,1
Spotx83,1,0,0,0,0,1,0,0,1
Spotx84,0,1,0,1,0,1,0,1,1
Spotx85,0,0,0,1,1,0,0,0,0
Spotx86,1,1,0,0,1,0,1,0,1
Spotx87,0,1,1,1,1,0,1,0,0
Spotx88,1,0,1,0,0,0,1,1,0
Spotx89,1,0,0,0,0,0,0,0,0
Spotx90,0,0,0,0,1,0,1,0,0
Spotx91,1,1,1,1,0,0,1,1,0
Spotx92,1,0,0,1,0,1,0,0,1
Spotx93,1,1,0,1,0,1,1,1,0
Spotx94,1,1,0,0,1,1,0,0,0
Spotx95,1,0,1,1,1,0,1,0,1
Spotx96,1,0,1,0,1,1,0,0,0
Spotx97,0,0,0,0,0,0,0,0,1
Spotx98,0,1,0,0,0,1,0,1,0
Spotx99,0,1,0,0,1,0,0,1,0
Spotx100,1,1,0,0,0,1,0,0,1
Spotx101,1,0,1,1,0,0,0,0,0
Spotx102,1,0,1,1,1,1,1,1,0
Spotx103,1,0,0,0,0,0,0,0,0
Spotx104,1,1,0,1,1,0,1,0,0
Spotx105,1,0,0,0,1,0,0,1,0
Spotx106,1,0,0,1,0,0,0,0,0
Spotx107,0,0,0,1,0,0,0,1,0
Spotx108,1,1,0,0,0,0,1,0,1
Spotx109,0,1,0,1,0,1,0,1,0
Spotx110,0,0,1,0,1,0,0,1,1
Spotx111,1,0,0,1,1,0,1,1,0
Spotx112,0,1,0,0,0,1,0,1,1
Spotx113,0,0,0,0,0,1,1,1,1
Spotx114,0,0,0,0,0,0,1,1,1
Spotx115,0,0,0,0,1,1,1,0,1
Spotx116,0,1,0,0,1,1,0,1,0
Spotx117,0,0,0,1,0,0,1,1,0
Spotx118,0,0,1,0,1,0,0,0,0
Spotx119,1,0,1,1,1,0,0,1,1
Spotx120,1,1,0,0,0,0,0,0,1
Spotx121,0,1,0,0,0,0,0,1,0
Spotx122,0,1,0,1,1,0,1,1,1
Spotx123,0,0,0,0,0,1,0,0,0
Spotx124,1,0,1,1,1,1,1,0,0
Spotx125,0,0,1,0,0,0,1,1,0
Spotx126,0,0,0,1,0,1,0,0,0
Spotx127,0,1,1,0,0,1,1,1,1
Spotx128,1,0,0,0,0,0,0,1,0
Spotx129,1,0,0,0,0,0,0,0,1
Spotx130,1,0,0,0,0,0,0,0,0
Spotx131,1,1,0,0,1,0,1,1,0
Spotx132,0,0,0,0,0,1,0,1,0
Spotx133,0,0,0,1,0,1,0,1,0
Spotx134,1,1,0,0,1,0,0,0,0
Spotx135,0,1,1,0,1,0,1,0,1
Spotx136,1,0,0,0,0,0,1,1,1
Spotx137,0,0,0,0,0,0,0,0,1
Spotx138,1,0,0,0,0,0,1,1,1
Spotx139,1,0,0,1,0,1,1,0,1
Spotx140,0,1,1,1,0,1,1,0,0
Spotx141,1,0,1,0,0,0,1,0,1
Spotx142,0,1,1,0,0,1,0,1,0
Spotx143,1,0,1,0,0,1,1,1,1
Spotx144,0,0,0,1,0,0,0,1,0
Spotx145,1,0,0,0,0,0,0,0,1
Spotx146,1,1,0,0,0,0,0,1,1
Spotx147,1,1,1,0,1,1,0,1,1
Spotx148,0,1,0,1,1,0,0,1,0
Spotx149,0,0,0,1,0,0,0,1,0
Spotx150,0,0,0,1,1,0,0,0,1
Spotx151,1,0,0,0,0,0,0,1,0
Spotx152,0,1,0,0,1,0,1,0,0
Spotx153,1,1,0,0,1,0,0,0,1
Spotx154,0,1,0,0,0,1,0,0,0
Spotx155,0,0,0,0,1,0,1,1,0
Spotx156,0,1,1,0,1,0,1,1,1
Spotx157,1,1,1,0,0,0,0,0,1
Spotx158,1,0,1,0,0,0,0,0,0
Spotx159,0,1,1,0,1,1,0,1,0
Spotx160,1,1,0,1,1,1,1,0,0
Spotx161,1,0,0,0,1,1,0,0,1
Spotx162,0,0,0,1,1,0,0,1,0
Spotx163,1,0,0,0,0,0,1,0,1
Spotx164,0,1,1,1,1,1,0,1,0
Spotx165,0,0,1,0,1,0,0,0,0
Spotx166,0,1,1,0,1,0,0,1,1
Spotx167,0,0,0,1,0,1,0,0,1
Spotx168,0,0,0,0,0,1,0,1,0
Spotx169,0,0,1,1,1,1,1,0,1
Spotx170,1,1,0,0,0,0,1,1,0
Spotx171,0,0,0,0,0,0,1,0,0
Spotx172,0,0,0,1,0,1,0,1,1
Spotx173,0,1,0,1,1,0,1,0,1
Spotx174,0,1,1,0,0,0,0,0,0
Spotx175,1,0,1,0,0,0,0,1,0
Spotx176,0,0,1,1,0,0,0,0,1
Spotx177,1,1,0,0,1,0,1,0,0
Spotx178,1,0,0,0,1,0,0,1,1
Spotx179,0,0,1,1,0,1,0,0,1
Spotx180,1,0,1,0,0,1,1,1,1
Spotx181,0,0,0,0,0,1,1,1,1
Spotx182,1,0,0,0,0,0,0,1,1
Spotx183,0,1,1,0,1,1,0,0,0
Spotx184,0,0,0,0,0,1,1,1,0
Spotx185,1,0,0,1,1,1,1,1,0
Spotx186,0,1,0,1,1,1,0,0,0
Spotx187,0,0,1,1,1,0,0,0,0
Spotx188,1,0,0,1,0,0,0,0,0
Spotx189,0,0,0,1,0,0,0,1,1
Spotx190,0,0,1,0,0,0,0,0,1
Spotx191,0,1,0,1,0,0,0,0,1
Spotx192,0,1,0,0,1,0,0,1,0
Spotx193,0,1,0,1,0,1,0,1,1
Spotx194,1,0,0,0,0,0,0,0,0
Spotx195,0,0,0,0,0,0,0,0,1
Spotx196,1,1,0,1,0,0,1,1,1
Spotx197,1,1,1,0,0,1,0,0,0
Spotx198,0,0,0,0,0,0,1,1,0
Spotx199,0,1,0,0,0,0,0,0,1
Spotx200,1,1,1,0,0,0,1,1,1
Spotx201,0,0,0,0,0,0,0,0,1
Spotx202,0,0,0,0,1,0,1,1,0
Spotx203,0,1,0,0,0,1,0,0,0
Spotx204,1,1,1,1,0,1,0,0,0
Spotx205,0,0,0,0,0,0,0,1,0
Spotx206,0,0,1,0,1,0,0,0,1
Spotx207,1,0,0,0,0,0,0,0,0
Spotx208,0,0,0,0,1,0,1,1,1
Spotx209,0,1,1,0,1,0,0,0,1
Spotx210,0,1,0,0,1,0,1,1,1
Spotx211,1,1,1,1,1,0,0,0,1
Spotx212,0,1,0,1,1,1,1,1,1
Spotx213,0,1,1,1,0,0,0,0,0
Spotx214,1,0,1,0,0,0,0,0,0
Spotx215,0,1,0,0,0,1,0,0,0
Spotx216,0,0,0,1,0,0,0,1,1
Spotx217,1,0,0,1,1,0,1,1,1
Spotx218,1,0,0,0,0,1,1,0,0
Spotx219,0,0,0,0,0,0,0,1,1
Spotx220,0,0,0,0,0,0,0,1,0
Spotx221,0,1,0,0,0,0,0,0,1
Spotx222,0,0,0,0,0,0,0,1,0
Spotx223,0,1,0,0,0,0,0,0,0
Spotx224,0,0,0,0,1,1,1,0,0
Spotx225,0,0,0,0,0,0,0,0,1
Spotx226,0,0,0,0,0,1,0,0,1
Spotx227,0,1,0,0,1,0,0,1,1
Spotx228,0,0,1,1,0,0,0,0,1
Spotx229,0,0,0,1,0,0,0,1,0
Spotx230,0,1,0,0,1,0,0,1,1
Spotx231,1,0,0,0,0,0,1,0,0
Spotx232,1,1,1,0,1,1,1,0,0
Spotx233,0,0,1,0,0,0,1,0,1
Spotx234,0,0,0,0,1,1,0,0,0
Spotx235,1,0,1,0,0,0,0,0,0
Spotx236,0,0,1,0,1,0,1,0,0
Spotx237,0,1,1,1,1,0,1,1,0
Spotx238,0,1,1,0,1,1,0,0,0
Spotx239,1,1,0,0,0,0,1,0,0
Spotx240,0,0,0,0,1,0,0,0,1
Spotx241,0,1,0,1,0,0,0,0,0
Spotx242,1,1,0,0,0,1,0,0,0
Spotx243,0,1,1,0,1,0,0,1,0
Spotx244,0,1,0,0,1,1,1,1,0
Spotx245,0,0,1,0,0,1,1,0,0
Spotx246,1,1,0,0,0,0,1,1,0
Spotx247,0,0,0,1,1,1,0,0,0
Spotx248,0,0,0,0,0,0,1,1,1
Spotx249,1,0,0,0,0,1,0,0,0
Spotx250,0,0,1,1,0,1,0,0,0
Spotx251,1,0,0,0,0,0,1,1,0
Spotx252,0,0,0,0,0,1,0,0,0
Spotx253,1,1,0,1,1,1,0,0,0
Spotx254,0,1,0,0,0,1,0,0,1
Spotx255,0,0,0,0,0,0,0,0,1
Spotx256,0,1,1,0,0,1,0,1,1
Spotx257,0,1,0,0,1,0,0,0,0
Spotx258,1,0,0,1,1,1,1,0,1
Spotx259,0,0,0,0,1,1,1,0,0
Spotx260,0,0,0,1,0,1,1,0,0
Spotx261,1,0,1,1,1,1,0,1,0
Spotx262,0,1,1,0,1,1,1,0,1
Spotx263,0,1,0,0,0,1,0,0,0
Spotx264,1,0,1,0,0,0,1,1,1
Spotx265,0,1,0,1,0,0,0,1,1
Spotx266,1,0,0,0,0,1,1,1,1
Spotx267,0,0,0,0,0,1,0,0,0
Spotx268,0,1,1,1,0,0,0,1,0
Spotx269,0,0,0,1,0,0,0,1,0
Spotx270,1,0,0,0,1,1,0,0,1
Spotx271,1,1,0,0,1,1,1,1,1
Spotx272,0,1,1,0,0,0,0,0,1
Spotx273,0,1,1,0,1,0,0,1,0
Spotx274,0,1,0,0,0,1,0,0,0
Spotx275,0,1,1,0,0,0,0,0,1
Spotx276,1,1,1,0,0,1,1,1,0
Spotx277,1,0,1,1,1,1,0,0,0
Spotx278,1,0,1,1,1,0,0,1,0
Spotx279,0,1,1,0,1,1,0,1,1
Spotx280,1,0,0,1,0,1,0,0,1
Spotx281,1,0,1,0,1,1,1,0,0
Spotx282,1,1,1,0,1,1,0,1,0
Spotx283,0,0,1,0,0,0,0,1,0
Spotx284,1,1,0,0,0,1,0,0,0
Spotx285,1,0,0,0,0,1,0,0,0
Spotx286,0,1,1,1,0,1,0,0,1
Spotx287,1,0,0,1,1,0,0,0,1
Spotx288,1,1,0,1,1,1,1,0,0
Spotx289,1,1,1,0,0,1,0,1,0
Spotx290,1,0,0,0,0,0,1,1,0
Spotx291,0,0,1,0,1,0,1,1,0
Spotx292,0,0,1,1,0,1,0,1,1
Spotx293,1,1,0,1,1,1,0,1,1
Spotx294,0,1,0,0,0,1,0,0,0
Spotx295,0,1,1,0,0,1,1,0,0
Spotx296,0,0,1,1,1,0,0,0,0
Spotx297,1,0,0,0,1,1,0,1,0
Spotx298,0,1,1,0,0,0,1,1,0
Spotx299,1,1,1,0,1,1,0,0,0
Spotx300,0,0,0,1,0,0,1,1,0
Spotx301,1,1,0,1,1,0,1,0,0
Spotx302,0,0,1,0,0,1,0,0,1
Spotx303,1,0,0,1,1,1,0,0,0
Spotx304,1,0,1,0,0,1,0,1,0
Spotx305,0,0,0,0,0,0,0,0,1
Spotx306,0,0,1,0,0,0,0,1,1
Spotx307,1,1,0,1,1,0,0,1,1
Spotx308,1,1,1,1,1,1,1,1,0
Spotx309,1,1,0,0,1,1,0,1,1
Spotx310,1,0,1,0,1,1,1,1,1
Spotx311,0,0,0,0,0,1,0,0,1
Spotx312,1,0,1,1,0,1,1,0,1
Spotx313,0,0,1,0,0,0,0,1,0
Spotx314,1,0,1,0,0,0,0,1,1
Spotx315,0,0,0,0,1,0,0,1,1
Spotx316,0,0,0,0,1,0,1,0,0
Spotx317,0,1,0,0,0,0,0,1,0
Spotx318,1,0,1,1,1,0,0,0,1
Spotx319,0,0,0,1,1,0,1,0,0
Spotx320,1,0,1,1,0,1,1,1,1
Spotx321,0,1,0,1,0,1,1,0,1
Spotx322,0,1,0,1,0,1,0,1,1
Spotx323,0,1,0,0,1,0,1,1,1
Spotx324,1,0,0,0,0,0,1,0,1
Spotx325,0,0,1,0,1,0,1,1,1
Spotx326,0,1,1,0,1,0,1,0,0
Spotx327,0,0,1,0,0,1,0,0,0
Spotx328,0,1,0,1,1,1,1,1,1
Spotx329,0,0,1,1,0,1,0,0,0
Spotx330,0,0,0,0,0,0,0,1,0
Spotx331,0,1,1,1,0,1,1,0,0
Spotx332,1,0,1,1,1,0,0,0,0
Spotx333,0,0,1,0,1,0,1,0,0
Spotx334,0,1,1,0,0,1,0,1,1
Spotx335,0,0,1,1,0,1,0,1,0
Spotx336,1,1,1,1,0,1,0,1,1
Spotx337,1,1,0,1,0,1,1,0,1
Spotx338,0,0,1,0,0,1,1,0,0
Spotx339,1,0,1,1,0,1,1,0,0
Spotx340,0,0,1,1,0,0,0,0,0
Spotx341,1,1,1,0,0,1,1,0,1
Spotx342,0,1,0,1,0,0,0,0,0
Spotx343,1,1,1,0,0,0,0,1,0
Spotx344,0,0,1,0,0,0,0,0,1
Spotx345,0,1,0,1,0,1,0,0,0
Spotx346,0,0,1,1,0,1,1,0,1
Spotx347,0,1,0,0,0,1,1,1,0
Spotx348,0,1,1,0,0,1,0,1,0
Spotx349,1,0,1,0,0,1,1,0,1
Spotx350,0,0,0,0,0,1,1,1,1
Spotx351,0,0,1,0,1,1,1,0,0
Spotx352,0,1,0,0,1,0,1,0,0
Spotx353,1,0,0,1,0,1,0,0,1
Spotx354,0,0,0,1,1,0,0,0,0
Spotx355,1,1,0,1,0,0,1,0,0
Spotx356,0,1,0,0,1,0,0,1,0
Spotx357,1,0,0,1,1,0,0,0,1
Spotx358,0,1,1,0,0,1,1,0,1
Spotx359,0,1,0,1,1,0,0,0,1
Spotx360,0,0,0,1,0,0,0,0,0
Spotx361,1,0,0,1,0,0,1,1,1
Spotx362,0,1,1,1,1,0,1,1,1
Spotx363,0,1,1,0,1,1,1,0,1
Spotx364,1,1,0,1,0,1,0,0,0
Spotx365,0,0,0,0,1,0,0,0,0
Spotx366,0,0,1,1,0,0,0,0,0
Spotx367,0,1,0,0,0,0,0,1,0
Spotx368,1,0,1,1,1,1,1,1,0
Spotx369,1,0,1,0,1,1,1,1,1
Spotx370,0,1,1,1,1,1,0,0,1
Spotx371,0,0,0,0,0,1,0,1,0
Spotx372,1,1,0,0,0,1,0,0,0
Spotx373,1,0,1,0,1,0,0,1,0
Spotx374,1,1,0,1,1,1,0,0,0
Spotx375,0,0,0,0,1,1,0,1,0
Spotx376,1,0,0,0,0,0,1,0,0
Spotx377,1,0,1,0,0,0,0,0,0
Spotx378,1,0,0,1,0,0,0,0,0
Spotx379,0,0,0,0,1,1,0,0,0
Spotx380,0,0,0,1,1,1,1,1,1
Spotx381,1,0,1,1,0,1,1,0,1
Spotx382,0,1,0,0,0,1,0,0,0
Spotx383,1,1,0,1,1,1,1,1,1
Spotx384,0,1,0,1,1,0,0,0,0
Spotx385,0,0,0,1,0,1,1,0,1
Spotx386,0,1,1,1,1,0,1,1,0
Spotx387,1,1,0,1,1,1,0,1,1
Spotx388,0,0,0,0,1,1,0,0,1
Spotx389,1,1,1,1,1,0,0,1,0
Spotx390,1,1,1,0,1,0,0,1,0
Spotx391,0,0,1,1,0,0,0,1,0
Spotx392,0,0,1,0,0,0,0,0,0
Spotx393,1,1,0,0,1,0,1,1,0
Spotx394,1,0,1,1,0,1,0,0,0
Spotx395,1,1,0,1,1,0,0,0,0
Spotx396,0,1,1,0,0,1,0,0,0
Spotx397,0,1,1,1,1,1,1,0,0
Spotx398,0,0,0,0,0,0,0,0,1
Spotx399,1,0,1,1,1,1,0,0,1
Spotx400,0,1,0,0,0,0,0,0,0
Spotx401,0,1,0,0,0,1,0,0,0
Spotx402,0,0,0,1,0,1,0,1,0
Spotx403,1,0,0,0,0,0,0,0,1
Spotx404,0,1,1,0,1,0,0,0,1
Spotx405,1,0,0,1,0,0,0,0,0
Spotx406,0,1,1,1,1,1,0,0,0
Spotx407,0,0,1,1,1,1,1,1,1
Spotx408,1,1,1,0,0,0,1,0,0
Spotx409,0,0,0,1,0,0,0,1,0
Spotx410,0,0,0,1,0,1,1,0,0
Spotx411,0,0,0,0,0,0,0,0,1
Spotx412,1,0,0,1,0,0,0,0,1
Spotx413,0,1,0,1,0,0,0,0,0
Spotx414,0,0,0,0,0,1,1,0,1
Spotx415,1,1,0,1,0,0,0,0,1
Spotx416,1,0,1,0,1,0,0,0,0
Spotx417,0,0,0,1,1,1,0,0,0
Spotx418,0,0,0,0,1,1,1,0,0
Spotx419,1,0,1,0,1,1,0,0,1
Spotx420,1,1,1,1,1,0,0,1,0
Spotx421,0,0,0,0,0,1,0,0,0
Spotx422,0,1,1,0,0,0,0,0,0
Spotx423,1,0,0,1,0,0,1,0,1
Spotx424,0,0,1,1,1,0,0,1,0
Spotx425,1,0,0,1,1,0,1,0,0
Spotx426,0,0,0,0,0,1,1,1,1
Spotx427,1,0,0,0,1,1,0,0,1
Spotx428,0,0,0,0,1,0,0,1,0
Spotx429,1,1,1,0,0,0,0,1,0
Spotx430,0,1,1,1,0,1,1,0,0
Spotx431,1,1,0,1,0,1,0,0,0
Spotx432,0,0,1,0,1,0,0,0,0
Spotx433,0,0,1,1,1,1,0,0,0
Spotx434,1,0,1,1,0,0,0,1,0
Spotx435,1,0,1,1,1,1,1,1,1
Spotx436,1,1,1,1,0,1,0,0,0
Spotx437,1,1,1,0,1,0,0,1,1
Spotx438,0,0,0,1,0,1,1,1,0
Spotx439,0,1,1,1,0,0,0,0,0
Spotx440,0,1,1,0,0,0,0,0,1
Spotx441,1,1,0,0,1,1,1,1,0
Spotx442,0,1,0,0,0,0,1,0,0
Spotx443,1,0,1,0,1,1,0,0,0
Spotx444,0,1,0,0,0,0,0,0,0
Spotx445,0,0,0,1,0,1,0,0,1
Spotx446,1,1,0,0,0,0,1,1,0
Spotx447,0,0,0,1,1,0,0,0,0
Spotx448,0,1,0,0,0,0,0,0,0
Spotx449,1,1,0,0,0,0,0,0,1
Spotx450,0,1,1,1,1,1,1,1,1
Spotx451,0,1,1,0,0,1,0,0,1
Spotx452,0,0,0,0,0,0,1,0,1
Spotx453,1,1,0,0,1,0,1,1,0
Spotx454,1,1,1,1,0,1,0,1,0
Spotx455,0,0,0,0,0,1,1,0,1
Spotx456,0,1,1,0,1,1,1,1,0
Spotx457,1,1,1,0,0,0,0,0,1
Spotx458,0,0,0,0,0,0,0,0,1
Spotx459,1,0,0,0,0,0,1,0,0
Spotx460,0,1,0,0,0,0,0,0,1
Spotx461,0,1,0,1,0,0,0,0,0
Spotx462,1,0,0,0,0,1,1,0,1
Spotx463,0,0,1,0,1,1,1,0,1
Spotx464,0,0,1,0,0,0,0,1,1
Spotx465,0,1,1,1,1,0,1,0,1
Spotx466,0,1,1,1,0,0,1,0,1
Spotx467,1,0,0,0,0,0,1,0,0
Spotx468,0,1,0,0,0,1,0,0,0
Spotx469,0,1,1,1,1,0,0,1,0
Spotx470,1,0,0,0,0,0,0,1,1
Spotx471,0,0,0,0,1,1,1,0,0
Spotx472,0,1,0,0,0,0,0,0,0
Spotx473,0,0,0,0,0,0,1,0,1
Spotx474,1,1,1,0,1,0,0,0,0
Spotx475,1,1,1,1,0,1,0,1,1
Spotx476,0,1,0,1,1,1,0,0,1
Spotx477,0,1,0,1,0,0,0,0,0
Spotx478,1,0,0,0,0,0,0,0,0
Spotx479,0,1,0,0,0,1,0,0,1
Spotx480,0,0,0,1,0,1,0,0,1
Spotx481,1,0,0,0,0,0,1,0,0
Spotx482,0,1,0,1,1,1,1,0,1
Spotx483,1,0,0,1,0,1,1,1,0
Spotx484,0,0,1,1,1,1,1,1,1
Spotx485,0,0,1,0,0,0,1,1,0
Spotx486,1,0,0,1,0,0,0,0,0
Spotx487,1,0,1,1,1,1,0,0,1
Spotx488,1,1,0,1,1,0,1,1,1
Spotx489,1,1,0,1,0,1,1,1,1
Spotx490,1,0,1,0,0,0,1,1,0
Spotx491,1,0,0,0,1,0,0,0,0
Spotx492,1,1,0,1,0,1,1,0,1
Spotx493,1,1,1,0,1,0,1,1,1
Spotx494,1,0,0,0,0,0,1,0,1
Spotx495,0,1,0,0,1,0,0,0,0
Spotx496,0,0,0,0,1,0,0,0,0
Spotx497,0,0,1,0,0,0,0,0,1
Spotx498,0,1,1,0,0,1,1,0,0
Spotx499,0,0,0,1,0,0,1,0,0
Spotx500,0,1,0,1,0,0,1,1,0
Spotx501,0,0,1,1,0,0,1,1,1
Spotx502,1,0,1,0,1,0,0,1,1
Spotx503,1,1,1,1,0,0,0,1,0
Spotx504,0,0,1,0,0,0,1,1,0
Spotx505,0,1,1,1,0,0,1,1,0
Spotx506,1,1,0,0,1,0,1,0,0
Spotx507,1,0,0,0,1,1,1,0,0
Spotx508,1,1,0,0,1,0,0,0,0
Spotx509,1,0,0,1,1,0,1,1,0
Spotx510,0,1,0,0,1,0,0,1,1
Spotx511,1,1,1,0,0,1,1,1,1
Spotx512,1,1,1,1,1,0,1,0,1
Spotx513,0,0,1,0,0,0,0,0,0
Spotx514,0,0,0,1,0,0,0,0,0
Spotx515,1,0,0,1,0,0,0,0,0
Spotx516,0,0,1,0,0,0,1,0,0
Spotx517,0,1,0,1,1,0,0,0,0
Spotx518,0,0,0,1,1,0,0,0,0
Spotx519,0,0,0,0,0,0,1,0,0
Spotx520,0,0,0,1,1,0,0,0,0
Spotx521,0,0,0,0,0,1,1,0,0
Spotx522,0,0,0,0,1,0,0,1,0
Spotx523,0,1,0,0,1,0,0,0,1
Spotx524,1,0,0,0,0,1,0,0,0
Spotx525,1,0,0,1,0,0,0,1,0
Spotx526,1,0,0,0,0,0,0,0,0
Spotx527,0,0,0,0,0,0,1,0,1
Spotx528,0,1,0,1,1,1,1,1,0
Spotx529,0,1,1,1,1,1,1,0,0
Spotx530,1,0,1,1,0,0,0,0,1
Spotx531,1,0,1,1,0,1,0,1,0
Spotx532,1,0,0,0,1,0,0,1,1
Spotx533,1,0,0,0,0,0,0,0,0
Spotx534,1,1,1,0,1,0,1,1,0
Spotx535,1,0,0,0,0,0,1,1,1
Spotx536,0,1,0,1,0,1,0,0,0
Spotx537,1,0,1,1,1,0,1,0,0
Spotx538,1,1,0,1,0,1,1,1,0
Spotx539,0,0,0,0,0,1,0,0,0
Spotx540,0,1,0,1,0,0,0,0,0
Spotx541,0,0,1,1,1,0,1,0,0
Spotx542,0,0,0,1,0,0,0,1,0
Spotx543,1,0,0,0,1,0,1,0,0
Spotx544,0,0,0,0,1,0,1,0,1
Spotx545,1,1,0,0,1,1,0,0,1
Spotx546,1,0,0,0,0,0,0,0,0
Spotx547,0,1,0,0,0,1,1,0,1
Spotx548,1,1,0,0,0,1,0,0,0
Spotx549,0,0,1,0,0,0,0,0,1
Spotx550,1,0,0,0,0,1,1,1,0
Spotx551,0,0,0,0,1,1,1,1,0
Spotx552,0,0,0,0,0,0,0,0,1
Spotx553,0,1,1,1,1,0,1,1,1
Spotx554,0,1,1,0,1,0,1,0,0
Spotx555,1,0,1,1,0,0,0,1,0
Spotx556,0,0,0,0,0,0,1,1,0
Spotx557,1,0,0,0,0,1,0,0,0
Spotx558,0,1,0,0,1,1,0,0,1
Spotx559,0,0,1,0,0,0,0,0,0
Spotx560,0,1,1,0,0,0,0,0,0
Spotx561,0,0,0,1,1,0,0,1,1
Spotx562,1,1,1,1,1,0,1,0,1
Spotx563,1,0,1,0,1,1,0,0,0
Spotx564,0,0,1,1,1,0,0,0,0
Spotx565,1,1,0,1,0,0,1,0,1
Spotx566,0,0,0,0,0,0,0,1,1
Spotx567,1,0,0,0,1,1,1,0,1
Spotx568,1,0,1,0,1,1,1,0,0
Spotx569,0,1,0,0,0,1,1,1,0
Spotx570,0,0,0,0,0,1,0,0,0
Spotx571,0,0,0,1,0,1,0,0,0
Spotx572,0,0,0,0,0,0,0,1,1
Spotx573,0,0,1,0,0,1,1,0,1
Spotx574,1,1,0,0,0,0,1,0,0
Spotx575,1,1,0,0,0,1,0,1,0
Spotx576,1,0,0,0,0,1,0,1,0
Spotx577,1,1,1,1,1,1,1,0,0
Spotx578,1,0,1,0,0,1,0,1,0
